loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),deviceOrientation(Z),state(N)
2017-10-29 14:05:56.870 -0500,1,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303956.000098,38.57582480184601,-90.15866020702771,125.6733,0,-1,3,5,-9999,1509303956.816678,-13.25709915161133,-21.29498291015625,-40.022216796875,137.0941467285156,138.6427917480469,40,96707.46275179167,0.0012054443359375,-0.0379638671875,-1.010940551757812,96706.78040091667,-0.08679135466124634,0.01990553125168826,-0.349238955869721,96706.28401475001,walking,1,2017-10-29 14:05:55.690 -0500,null,0,0,0,0,null,96704.276447,0,0.9191132,99.59715,1,0
2017-10-29 14:05:57.909 -0500,2,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303957.000098,38.57581612657623,-90.15867009767345,125.9335,0.58,56.25,3,5,-9999,1509303957.835681,-26.17726516723633,-31.1468505859375,-21.24029541015625,154.9294586181641,156.4781036376953,40,96708.47315850001,0.480377197265625,-0.084808349609375,-0.743408203125,96707.78928979168,1.426817049833616,1.676934747827242,0.2979011995362636,96706.28401475001,walking,1,2017-10-29 14:05:55.690 -0500,null,0,0,0,0,null,96705.312467,0,1.104675,99.59496,1,0
2017-10-29 14:05:58.888 -0500,3,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303958.000099,38.57581767722832,-90.15866607435993,125.3145,0.27,77.34375,3,5,-9999,1509303958.851997,-15.16830825805664,-35.38320922851562,-27.909423828125,161.9335479736328,163.4821929931641,40,96709.48352437501,-0.03521728515625,-0.0432586669921875,-0.181884765625,96708.7982015,-0.7259883657999606,0.2352498022599315,0.6739033264646269,96706.28401475001,walking,1,2017-10-29 14:05:55.690 -0500,null,0,0,0,0,null,96706.348753,0,1.20816,99.59373,1,0
2017-10-29 14:05:59.903 -0500,4,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303958.000099,38.57581767722832,-90.15866607435993,125.3145,0.27,77.34375,3,5,-9999,1509303959.870406,-10.95306777954102,-55.64483642578125,-25.8631591796875,179.2122039794922,180.7608489990234,40,96710.49381766668,0.2375335693359375,0.2762908935546875,-0.961822509765625,96709.807132375,0.5850647998734367,2.614075036447443,-5.928844267293491,96706.28401475001,walking,1,2017-10-29 14:05:55.690 -0500,null,0,0,0,0,null,96707.384479,0,1.20816,99.59373,4,0
2017-10-29 14:06:00.941 -0500,5,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303959.999929,38.57582140717523,-90.15866666109315,125.4516,0.27,358.2421875,3,5,-9999,1509303960.889396,-3.818668365478516,-51.69367980957031,-30.7841796875,178.7801208496094,180.3287658691406,40,96711.50395662501,0.3018798828125,0.064849853515625,-0.8648834228515625,96710.81608266667,0.002264752191003384,0.4175714083834102,0.02512133224660845,96711.14796166668,walking,1,2017-10-29 14:06:00.540 -0500,null,0,0,0,0,null,96708.420834,0,1.079697,99.59526,5,0
2017-10-29 14:06:01.917 -0500,6,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303959.999929,38.57582140717523,-90.15866666109315,125.4516,0.27,358.2421875,3,5,-9999,1509303961.907059,5.260311126708984,-50.07182312011719,-32.535400390625,182.3682098388672,183.9168548583984,40,96712.51402175,0.2833099365234375,0.1359710693359375,-0.9645233154296875,96711.82506262501,0.002328401741056278,-0.04796539544509013,-0.01284309435690713,96711.14796166668,walking,1,2017-10-29 14:06:00.540 -0500,null,0,0,0,0,null,96709.457889,0,0.9410248,99.5969,5,0
2017-10-29 14:06:02.928 -0500,7,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303961.999128,38.57582379601763,-90.15866858893088,125.2379,0,347.6953125,3,5,-9999,1509303961.907059,5.260311126708984,-50.07182312011719,-32.535400390625,182.3682098388672,183.9168548583984,40,96713.52400066667,0.1985931396484375,0.1241912841796875,-0.9668731689453125,96712.83402975001,-0.001866076975818522,-0.1437864640983591,-0.002343848075378737,96713.07319575001,walking,1,2017-10-29 14:06:02.480 -0500,null,0,0,0,0,null,96710.494536,0,0.8436584,99.59805,5,0
2017-10-29 14:06:03.982 -0500,8,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303963.000011,38.57582379601763,-90.15866858893088,125.1455,0,128.671875,3,5,-9999,1509303963.946768,4.057094573974609,-51.267822265625,-31.7884521484375,182.1307067871094,183.6793518066406,40,96714.53400487501,0.232452392578125,0.1340484619140625,-0.975189208984375,96713.84296966667,0.0157595220666529,0.08102028457904463,0.01419651282288539,96713.07319575001,walking,1,2017-10-29 14:06:02.480 -0500,null,0,0,0,0,null,96711.532804,0,0.7677002,99.59895,5,0
2017-10-29 14:06:04.948 -0500,9,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303964.000038,38.57582379601763,-90.15866858893088,125.2047,0,128.671875,3,5,-9999,1509303963.946768,4.057094573974609,-51.267822265625,-31.7884521484375,182.1307067871094,183.6793518066406,40,96715.54387212501,0.37445068359375,0.142547607421875,-0.97552490234375,96714.851998875,-0.007536479568815236,0.09685517410454678,-0.01279142903175959,96713.07319575001,walking,1,2017-10-29 14:06:02.480 -0500,null,0,0,0,0,null,96712.568504,0,0.7259064,99.59944,5,0
2017-10-29 14:06:05.983 -0500,10,5F79A9EE-89CF-48F1-8A0C-D5BA2C670F5F,my_iOS_device,1509303964.000038,38.57582379601763,-90.15866858893088,125.2047,0,128.671875,3,5,-9999,1509303964.96482,3.756282806396484,-51.56684875488281,-31.63922119140625,182.2318878173828,183.7805328369141,40,96716.55373666667,0.404754638671875,0.1067047119140625,-0.931243896484375,96715.86094912501,-0.01915212297930484,0.1095483324920824,-0.03108388361118685,96716.313708125,walking,1,2017-10-29 14:06:05.711 -0500,null,0,0,0,0,null,96713.604922,0,0.7259064,99.59944,5,0
